algorithm,filename,Input SNR,utterances,pesq,pesqImp,segSNR,segSNRImp
mohammadiaSupervised,mohammadiaSupervised_001ut-3dB.wav,-3,1,1.394851,-0.165099,2.951000,1.021109
mohammadiaSupervised,mohammadiaSupervised_001ut00dB.wav,0,1,1.581696,-0.151812,3.578472,1.923194
mohammadiaSupervised,mohammadiaSupervised_001ut03dB.wav,3,1,2.056244,0.160520,13.092717,-0.396504
mohammadiaSupervised,mohammadiaSupervised_003ut-3dB.wav,-3,3,1.425384,-0.134565,7.048204,5.118313
mohammadiaSupervised,mohammadiaSupervised_003ut00dB.wav,0,3,1.563591,-0.169917,5.995302,4.340025
mohammadiaSupervised,mohammadiaSupervised_003ut03dB.wav,3,3,2.102060,0.206336,10.559322,-2.929899
mohammadiaSupervised,mohammadiaSupervised_005ut-3dB.wav,-3,5,1.406490,-0.153460,3.122661,1.192770
mohammadiaSupervised,mohammadiaSupervised_005ut00dB.wav,0,5,1.561135,-0.172374,4.590840,2.935562
mohammadiaSupervised,mohammadiaSupervised_005ut03dB.wav,3,5,2.064957,0.169232,12.119057,-1.370164
mohammadiaSupervised,mohammadiaSupervised_010ut-3dB.wav,-3,10,1.395273,-0.164676,2.291267,0.361376
mohammadiaSupervised,mohammadiaSupervised_010ut00dB.wav,0,10,1.567080,-0.166429,3.892764,2.237486
mohammadiaSupervised,mohammadiaSupervised_010ut03dB.wav,3,10,2.047206,0.151481,10.714461,-2.774760
mohammadiaSupervised,mohammadiaSupervised_015ut-3dB.wav,-3,15,1.411803,-0.148147,0.412253,-1.517638
mohammadiaSupervised,mohammadiaSupervised_015ut00dB.wav,0,15,1.570988,-0.162521,5.184972,3.529694
mohammadiaSupervised,mohammadiaSupervised_015ut03dB.wav,3,15,2.034169,0.138444,8.560948,-4.928273
mohammadiaSupervised,mohammadiaSupervised_020ut-3dB.wav,-3,20,1.405608,-0.154342,0.756036,-1.173855
mohammadiaSupervised,mohammadiaSupervised_020ut00dB.wav,0,20,1.580766,-0.152743,5.788315,4.133038
mohammadiaSupervised,mohammadiaSupervised_020ut03dB.wav,3,20,2.021643,0.125918,7.855792,-5.633429
mohammadiaSupervised,mohammadiaSupervised_030ut-3dB.wav,-3,30,1.395593,-0.164356,3.214526,1.284635
mohammadiaSupervised,mohammadiaSupervised_030ut00dB.wav,0,30,1.573963,-0.159546,3.988365,2.333087
mohammadiaSupervised,mohammadiaSupervised_030ut03dB.wav,3,30,1.969564,0.073839,12.948098,-0.541123
mohammadiaSupervised,mohammadiaSupervised_040ut-3dB.wav,-3,40,1.368050,-0.191899,6.506893,4.577002
mohammadiaSupervised,mohammadiaSupervised_040ut00dB.wav,0,40,1.628541,-0.104968,3.677632,2.022354
mohammadiaSupervised,mohammadiaSupervised_040ut03dB.wav,3,40,1.997285,0.101560,13.779119,0.289898
mohammadiaSupervised,mohammadiaSupervised_050ut-3dB.wav,-3,50,1.361125,-0.198825,3.752397,1.822506
mohammadiaSupervised,mohammadiaSupervised_050ut00dB.wav,0,50,1.584875,-0.148633,2.195657,0.540380
mohammadiaSupervised,mohammadiaSupervised_050ut03dB.wav,3,50,1.981240,0.085515,13.682776,0.193555
mohammadiaSupervised,mohammadiaSupervised_060ut-3dB.wav,-3,60,1.336295,-0.223654,5.772428,3.842537
mohammadiaSupervised,mohammadiaSupervised_060ut00dB.wav,0,60,1.582043,-0.151466,3.349470,1.694192
mohammadiaSupervised,mohammadiaSupervised_060ut03dB.wav,3,60,2.003901,0.108177,12.698378,-0.790843
mohammadiaSupervised,mohammadiaSupervised_070ut-3dB.wav,-3,70,1.374052,-0.185898,5.141484,3.211593
mohammadiaSupervised,mohammadiaSupervised_070ut00dB.wav,0,70,1.574279,-0.159230,3.442923,1.787645
mohammadiaSupervised,mohammadiaSupervised_070ut03dB.wav,3,70,1.976916,0.081191,11.985469,-1.503752
mohammadiaSupervised,mohammadiaSupervised_080ut-3dB.wav,-3,80,1.364020,-0.195929,6.534912,4.605021
mohammadiaSupervised,mohammadiaSupervised_080ut00dB.wav,0,80,1.597764,-0.135745,4.891620,3.236342
mohammadiaSupervised,mohammadiaSupervised_080ut03dB.wav,3,80,1.974295,0.078570,13.731563,0.242342
